layer,input_index,output_index,weight
fc2.weight,46,8,0
fc2.weight,47,8,2458
fc2.weight,48,8,0
fc2.weight,49,8,-1223
fc2.weight,50,8,349
fc2.weight,51,8,-2416
fc2.weight,52,8,0
fc2.weight,53,8,0
fc2.weight,54,8,276
fc2.weight,55,8,0
fc2.weight,56,8,627
fc2.weight,57,8,0
fc2.weight,58,8,557
fc2.weight,59,8,1438
fc2.weight,60,8,0
fc2.weight,61,8,-110
fc2.weight,62,8,244
fc2.weight,63,8,-220
fc2.weight,0,9,0
fc2.weight,1,9,0
fc2.weight,2,9,0
fc2.weight,3,9,0
fc2.weight,4,9,0
fc2.weight,5,9,0
fc2.weight,6,9,0
fc2.weight,7,9,0
fc2.weight,8,9,0
fc2.weight,9,9,0
fc2.weight,10,9,0
fc2.weight,11,9,0
fc2.weight,12,9,0
fc2.weight,13,9,0
fc2.weight,14,9,0
fc2.weight,15,9,0
fc2.weight,16,9,0
fc2.weight,17,9,0
fc2.weight,18,9,0
fc2.weight,19,9,0
fc2.weight,20,9,0
fc2.weight,21,9,0
fc2.weight,22,9,0
fc2.weight,23,9,0
fc2.weight,24,9,0
fc2.weight,25,9,0
fc2.weight,26,9,0
fc2.weight,27,9,0
fc2.weight,28,9,0
fc2.weight,29,9,0
fc2.weight,30,9,0
fc2.weight,31,9,0
fc2.weight,32,9,0
fc2.weight,33,9,0
fc2.weight,34,9,0
fc2.weight,35,9,0
fc2.weight,36,9,0
fc2.weight,37,9,0
fc2.weight,38,9,0
fc2.weight,39,9,0
fc2.weight,40,9,0
fc2.weight,41,9,0
fc2.weight,42,9,0
fc2.weight,43,9,0
fc2.weight,44,9,0
fc2.weight,45,9,0
fc2.weight,46,9,0
fc2.weight,47,9,0
fc2.weight,48,9,0
fc2.weight,49,9,0
fc2.weight,50,9,0
fc2.weight,51,9,0
fc2.weight,52,9,0
fc2.weight,53,9,0
fc2.weight,54,9,0
fc2.weight,55,9,0
fc2.weight,56,9,0
fc2.weight,57,9,0
fc2.weight,58,9,0
fc2.weight,59,9,0
fc2.weight,60,9,0
fc2.weight,61,9,0
fc2.weight,62,9,0
fc2.weight,63,9,0
fc2.weight,0,10,269
fc2.weight,1,10,921
fc2.weight,2,10,-1566
fc2.weight,3,10,1708
fc2.weight,4,10,0
